"","species","timestep","sim_mean","sim_sd","sim_cv","true_mean","true_sd","true_cv","rel_err_mean","rel_err_cv","ratio","true_mean_rescale","sim_mean_rescale","true_cv_rescale","sim_cv_rescale"
"1",0,1,5015793.79461344,300510.886095264,0.0599129267271691,2096025.77031367,201.935451921691,9.63420654372353e-05,139.300196860788,62087.7125586445,2.39300196860788,0.667306669907022,0.896311787979793,0.637176660754659,0.601182073149029
"2",0,10,4412465.03237558,232461.262203341,0.052682856520721,2090443.43605057,186.658085972414,8.92911440479171e-05,111.077944338545,58901.2112426842,2.11077944338545,0.643215471029569,0.467445492541905,0.292565376713879,0.16576282313883
"3",0,11,4543882.18031025,265122.200926729,0.0583470676408751,2110529.88130155,188.402940430689,8.92680753302115e-05,115.295799437251,65261.6283593474,2.15295799437251,0.729900811690976,0.560861203708573,0.29143790131162,0.506880749716831
"4",0,12,4333236.65285604,232909.280962415,0.0537494948052062,2128891.67724813,187.607850642662,8.81246578431692e-05,103.54425258768,60892.5713423607,2.0354425258768,0.809143231984638,0.411127306264729,0.235553776862117,0.229999383587234
"5",0,13,4606467.37589187,265066.176091171,0.0575421802569156,2143847.84477508,195.101256290435,9.10051787331502e-05,114.869137617141,63129.566776242,2.14869137617141,0.873688275214646,0.605348857303582,0.376338214496962,0.458407712656446
"6",0,14,4379197.27099669,288681.861774597,0.0659211823332395,2155974.19071164,213.2124253062,9.88937744360583e-05,103.119188061857,66558.5765475683,2.03119188061857,0.926020901289303,0.44379765329891,0.761890533740815,0.963019520803634
"7",0,15,4302676.91655275,227175.361357558,0.0527986102055668,2161068.64718973,201.537252453079,9.32581446291211e-05,99.0995020980926,56515.5486103031,1.99099502098093,0.948006608056726,0.389404421963076,0.486451124206436,0.172733901040191
"8",0,16,4577437.37109384,263612.661129933,0.0575895724526186,2162467.27051475,208.941676486555,9.66218908075398e-05,111.676608173785,59503.0278141945,2.11676608173785,0.954042526203079,0.584713357401187,0.650853026557562,0.46126183076597
"9",0,17,4729700.60168427,276181.328814918,0.0583929834198318,2166880.11819689,208.005772440035,9.59932073275569e-05,118.272370583194,60730.3285674973,2.18272370583194,0.973086672632825,0.692947162453853,0.620126344280215,0.509645953022758
"10",0,18,5161662.28855264,339025.783499329,0.0656815119910516,2167830.80670485,224.946296221108,0.000103765614698977,138.102635712539,63197.9548972874,2.38102635712539,0.977189477093537,1,1,0.948585763223787
"11",0,19,4425012.42217562,294419.252660089,0.0665352375474992,2168076.24374541,208.01527363944,9.59446302866585e-05,104.098561337091,69247.5365413453,2.04098561337091,0.978248688576988,0.476364597543626,0.617752158622115,1
"12",0,2,4722471.91356906,262348.784032308,0.0555532756644888,2071010.37099413,185.834349926438,8.97312502772418e-05,128.027439152908,61810.7339893809,2.28027439152908,0.559349866963605,0.687808768783802,0.314075412697502,0.338629159855675
"13",0,20,4860763.61088073,285279.272855147,0.0586902173593784,2171585.22104654,208.788833774996,9.61458163149477e-05,123.834808036601,60942.9237681285,2.23834808036601,0.993392079501613,0.786111139941914,0.627585054453976,0.527546384877419
"14",0,21,4470630.18414501,244203.09375043,0.0546238636817894,2173116.38689651,204.543274606789,9.41243993373511e-05,105.724378643596,57933.6916531198,2.05724378643596,1,0.508791230925755,0.528789016068593,0.282656830832296
"15",0,22,4339034.7196734,277437.9107755,0.0639400070982569,2166698.8766864,208.965987646636,9.6444406694028e-05,100.260163807775,66197.2683331528,2.00260163807775,0.972304504265914,0.415248766391108,0.642178553410434,0.843706456016856
"16",0,23,4478005.37695979,248803.495272409,0.0555612319164581,2153806.81391434,200.505192733766,9.30933969743401e-05,107.911189993008,59583.3220424567,2.07911189993008,0.916667340036005,0.514033765044109,0.47839914096595,0.339108312224384
"17",0,24,4249867.05282043,227631.973208009,0.0535621397984534,2134143.07527824,207.483265334296,9.72208788331801e-05,99.1369323852082,54993.2479126833,1.99136932385208,0.831806237882415,0.351865401715725,0.680128354028046,0.21871623222126
"18",0,25,4537265.98141289,273476.966299942,0.0602735143631104,2112800.78505403,201.637413304296,9.54360745843531e-05,114.751244580632,63055.9026559044,2.14751244580632,0.739701155302431,0.556158187892679,0.592896678905204,0.622897878600614
"19",0,26,4573853.16955461,276472.962760611,0.0604464009909468,2082755.5041745,201.45212899602,9.67238490510508e-05,119.605861580351,62393.7919489155,2.19605861580351,0.610037326000379,0.582165586877975,0.655836199574934,0.633309695316055
"20",0,27,4180231.81015308,242588.429740122,0.058032291211917,2056424.39721524,199.20985300213,9.68719556487925e-05,103.276707658878,59806.1831912551,2.03276707658878,0.496402436987689,0.302366338478802,0.663074857050253,0.487923849893701
"21",0,28,4782778.97402075,264723.181682241,0.0553492400799143,2029692.71328085,181.989715029383,8.96636785650227e-05,135.640545129106,61629.8341599669,2.35640545129106,0.381038812446338,0.730677047611965,0.310772869210355,0.326341447748593
"22",0,29,4075056.9342782,252643.52792933,0.0619975455567666,2020973.51540705,185.980888763986,9.20253963479216e-05,101.638314565317,67270.0391600289,2.01638314565317,0.343410121628192,0.227604513396417,0.426200988851529,0.726724860621688
"23",0,3,4303984.25050402,245516.177557006,0.0570439302904639,2044119.604614,191.561142075305,9.37132747237059e-05,110.55442356646,60770.7042397633,2.1055442356646,0.443299704021358,0.390333718730734,0.508695446280159,0.428401416657203
"24",0,30,4568540.34423452,261655.559175494,0.0572733388478668,2026881.30450168,181.740763127345,8.96652224892006e-05,125.397527427375,63774.6408673272,2.25397527427375,0.368905857873461,0.578389052663227,0.310848327957383,0.442217174894405
"25",0,31,4390324.40115967,256423.791106452,0.0584065703752369,2053395.22783219,185.722763600604,9.04466714849999e-05,113.808055149453,64475.6990459547,2.13808055149453,0.483329711743874,0.451707190172563,0.349041370679817,0.510464205372108
"26",0,32,5008216.56155318,280873.002000194,0.0560824394369017,2060638.61685674,191.058640016624,9.27181692382629e-05,143.041963815694,60387.0004419345,2.43041963815694,0.514589381500814,0.890925636886694,0.460060018346717,0.370497189672467
