"length_cm" "age" "len_bin"
17.871210476765 1 NA
20.9154433791586 2 NA
23.5408845553132 3 NA
25.8051467160789 4 NA
27.7579168559092 5 NA
29.4420465848285 6 NA
30.8944924646475 7 NA
32.1471269841727 8 NA
33.2274379694618 9 NA
34.1591317769888 10 NA
34.9626535061989 11 NA
35.6556356470017 12 NA
36.2532850073292 13 NA
36.7687164115008 14 NA
37.2132404920767 15 NA
37.5966118905064 16 NA
37.927243313091 17 NA
