"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
9599517.89886831 1282941.97756163 663785.209301064 331060.357917801 245263.347899829 190030.817284062 100663.210141504 61458.0340173529 33528.0252985777 25905.5644305432 18656.5490241555 11393.945717484 7197.01084872877 4707.10357912264 2954.45337350499 2111.30622361001 1256.56539519694
